id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,stream_type
87,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60094,180.149.60.56,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913128446,1672913150825,22379,5562,6134102,1672913128446,1672913150825,22379,1439,103925,1672913128474,1672913150825,22351,4123,6030177,54,1102.8590435095311,615.6337681044781,1470,54,72.22029186935376,86.74162377936781,1470,60,1462.5702158622337,91.90141494306052,1470,0,4.024276209314874,165.32400155360472,8082,0,15.562586926286532,324.92017312792603,8082,0,5.422367782629776,193.56795243548984,8110,0,0,0,0,5562,707,0,0,0,0,0,0,1439,10,0,0,0,0,0,0,4123,697,0,0,TLS,Web,0,6,,,,,,1
58,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60106,172.217.136.9,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913289617,1672913307960,18343,7075,7818445,1672913289617,1672913307960,18343,1776,103880,1672913289631,1672913307960,18329,5299,7714565,54,1105.0805653710286,610.7534620119576,1462,54,58.49099099099099,69.90185415685828,1462,60,1455.8529911304,78.60130923548031,1462,0,2.59301668080294,124.05114451238089,7406,0,10.334084507042258,247.53858056023583,7406,0,3.459607399018503,144.16716998291972,7471,0,0,0,0,7075,446,0,0,0,0,0,0,1776,8,0,0,0,0,0,0,5299,438,0,0,TLS,Web,0,6,,,,,,1
51,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60129,180.149.60.12,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913423110,1672913445817,22707,6000,6656409,1672913423110,1672913445817,22707,1515,89504,1672913423138,1672913445817,22679,4485,6566905,54,1109.4014999999986,615.5305014896719,1470,54,59.07854785478544,75.36102299285267,1470,60,1464.1928651059095,79.60707499814261,1470,0,3.785130855142529,180.2180055251156,11442,0,14.998018494055492,358.5901406318884,11442,0,5.057760927743088,209.10933779965956,11471,0,0,0,0,6000,726,0,0,0,0,0,0,1515,8,0,0,0,0,0,0,4485,718,0,0,TLS,Web,0,6,,,,,,1
130,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60144,180.149.60.13,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913575349,1672913595563,20214,5633,6492879,1672913575349,1672913595563,20214,1254,77076,1672913575377,1672913595563,20186,4379,6415803,54,1152.6502751642129,589.4015664265331,1470,54,61.46411483253596,92.20535517029892,1470,60,1465.129709979447,75.82220301328593,1470,0,3.589133522727268,146.43744494009903,8274,0,16.132482043096587,310.23251870383694,8274,0,4.610781178620394,166.82507078640697,8302,0,0,0,0,5633,719,0,0,0,0,0,0,1254,10,0,0,0,0,0,0,4379,709,0,0,TLS,Web,0,6,,,,,,1
26,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60165,180.149.60.56,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913682477,1672913700891,18414,4357,4927531,1672913682477,1672913700891,18414,1036,72183,1672913682511,1672913700891,18380,3321,4855348,54,1130.9458342896498,600.5220362931468,1470,54,69.67471042471051,90.98055946409188,1470,60,1462.0138512496217,97.37225391343004,1470,0,4.22727272727271,183.890772127039,11309,0,17.79130434782608,377.07652143708185,11309,0,5.5361445783132295,211.3282872030519,11337,0,0,0,0,4357,566,0,0,0,0,0,0,1036,8,0,0,0,0,0,0,3321,558,0,0,TLS,Web,0,6,,,,,,1
16,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60185,180.149.60.13,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913784902,1672913811639,26737,10227,10843829,1672913784902,1672913811639,26737,2960,199172,1672913784930,1672913811639,26709,7267,10644657,54,1060.3137772562843,638.3940355764395,1470,54,67.28783783783784,72.0021468132174,1470,60,1464.7938626668506,78.22863018454184,1470,0,2.6146098181106883,128.28941691217906,10323,0,9.035822913146308,238.40037842600324,10323,0,3.675887696118915,153.05225289098723,10352,0,0,0,0,10227,1273,0,0,0,0,0,0,2960,14,0,0,0,0,0,0,7267,1259,0,0,TLS,Web,0,6,,,,,,1
28,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60204,180.149.60.57,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672913894407,1672913916947,22540,7407,8584751,1672913894407,1672913916947,22540,1600,97978,1672913894435,1672913916899,22464,5807,8486773,54,1159.0051302821691,584.2441141841516,1470,54,61.23624999999988,89.95996155298283,1470,60,1461.4728775615645,97.87135527640544,1470,0,3.043478260869556,142.6833251037429,7193,0,14.09631019387118,306.9028468863191,7193,0,3.869100930072338,161.88822427990485,7221,0,0,0,0,7407,939,0,0,0,0,0,0,1600,12,0,0,0,0,0,0,5807,927,0,0,TLS,Web,0,6,,,,,,1
0,0,10.1.236.53,34:6f:24:1a:a7:41,34:6f:24,58233,180.149.60.12,00:08:e3:ff:fd:90,00:08:e3,443,17,4,0,0,1675591084743,1675591100197,15454,2649,3096190,1675591084743,1675591100197,15454,264,29093,1675591087213,1675591088311,1098,2385,3067097,68,1168.814647036619,365.02438460516623,1292,75,110.20075757575763,174.41130051826718,1005,68,1285.9945492662466,82.49158216445585,1292,0,5.836102719033237,103.02776880121044,2826,0,58.76045627376426,325.067344219092,2897,0,0.4605704697986578,4.954949950019824,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
2,0,10.1.236.53,34:6f:24:1a:a7:41,34:6f:24,55868,142.250.77.110,00:08:e3:ff:fd:90,00:08:e3,443,17,4,0,0,1675591647733,1675591676144,28411,240,151501,1675591647733,1675591676144,28411,114,69398,1675591647763,1675591672243,24480,126,82103,67,631.2541666666666,581.0969193599973,1292,76,608.7543859649122,574.8183023641518,1292,67,651.611111111111,588.2656130996912,1292,0,118.87447698744768,621.6898637574687,6439,0,251.42477876106196,892.2284181165811,6452,0,195.8400000000001,790.7993648732091,6457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
2,0,10.1.236.53,34:6f:24:1a:a7:41,34:6f:24,65515,180.149.60.57,00:08:e3:ff:fd:90,00:08:e3,443,17,4,0,0,1675591750434,1675591766653,16219,2080,2373435,1675591750434,1675591753249,2815,251,24509,1675591750486,1675591766653,16167,1829,2348926,67,1141.0745192307727,399.7347541971956,1292,75,97.64541832669325,148.23121725508537,1292,67,1284.2679059595396,93.34707572278602,1292,0,7.801346801346801,174.6012051101143,6879,0,11.260000000000003,20.829591631863565,179,0,8.844091903719917,186.26694912457083,6879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.YouTube,Media,0,6,rr2---sn-o3o-itqz.googlevideo.com,00081eb34a3cf92f570155e2978cc515,,,,1
0,0,180.149.60.13,00:08:e3:ff:fd:90,00:08:e3,443,10.1.236.53,34:6f:24:1a:a7:41,34:6f:24,51365,17,4,0,0,1675591808519,1675591827778,19259,1975,2262191,1675591808519,1675591827777,19258,1745,2231814,1675591808520,1675591827778,19258,230,30377,68,1145.4131645569596,392.8108593905948,1292,68,1278.976504297997,122.23848240494078,1292,75,132.07391304347829,221.38241473140275,1035,0,9.75633232016211,161.7447881089481,6418,0,11.042431192660551,264.38898573398995,10536,0,84.09606986899563,469.2233125558553,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
9,0,10.1.236.53,34:6f:24:1a:a7:41,34:6f:24,52294,180.149.60.57,00:08:e3:ff:fd:90,00:08:e3,443,17,4,0,0,1675591943827,1675591966513,22686,5448,6350977,1675591943827,1675591966513,22686,557,51631,1675591944404,1675591966215,21811,4891,6299346,67,1165.744676945664,369.9646334040925,1292,75,92.69479353680434,126.09286371004264,1057,67,1287.9464322224435,67.56528307906844,1292,0,4.164861391591705,129.4544316085975,8127,0,40.80215827338131,405.8260050486067,8127,0,4.460327198364002,141.9628586012158,8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
