src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ps,dst2src_mean_ps,src2dst_stddev_piat_ms,dst2src_stddev_piat_ms,src2dst_stddev_ps,dst2src_stddev_ps,src2dst_packets,dst2src_packets,src2dst_bytes,dst2src_bytes,src_port,dst_port,protocol,stream_type
18.20687186828919,36.98253275109172,1446.0672389127312,69.02180232558138,345.7128564186537,491.4812498320083,178.52558005536122,133.6733764680479,1398.0,688.0,2021602.0,47487.0,443.0,59964.0,6.0,0.0
4.984426071909246,38.290748898678416,1270.2570165321051,114.83870967741936,57.51408813785699,100.19457857616833,156.591891398067,178.98229290044566,5202.0,682.0,6607877.0,78320.0,443.0,49665.0,17.0,0.0
57.69600000000002,7.0690330477356245,98.04191616766468,1262.621390112579,181.24700421544676,64.23440586124272,134.21359185835453,184.30961743011352,501.0,4086.0,49119.0,5159071.0,54616.0,443.0,17.0,0.0
66.03239740820732,8.085910652920933,101.290948275862,1260.1347780126837,193.82676534847323,69.44206347412666,143.40364064817416,190.5317400763718,464.0,3784.0,46999.0,4768350.0,54616.0,443.0,17.0,0.0
19.67883755588676,6.48262262755731,98.46760982874162,1288.76638738295,415.4134034113136,237.4884078064229,45.81863700547954,61.00585386968203,1343.0,4058.0,132242.0,5229814.0,57047.0,443.0,17.0,1.0
5.353080568720381,1.6427238805970157,111.19858156028376,1285.7250698974838,25.224238569086047,12.486712386546769,129.5218999135859,80.29052828622497,423.0,1073.0,47037.0,1379583.0,64338.0,443.0,17.0,1.0
32.66290322580647,13.004578155657285,105.40579710144932,1274.60588235294,360.5810930030849,244.99396157740944,94.20437407770233,139.93302926603,621.0,1530.0,65457.0,1950147.0,56752.0,443.0,17.0,1.0
7.144379844961243,17.837096774193537,1280.0955763642269,98.50846091861416,125.93842953214906,196.4334394157494,117.57882301629822,47.61407491454632,3097.0,1241.0,3964456.0,122249.0,443.0,56863.0,17.0,1.0
19.92497430626927,9.957326478149104,102.50616016427104,1279.298561151081,572.2526812489654,399.3659915347009,44.488984548830025,121.79260372385563,974.0,1946.0,99841.0,2489515.0,54885.0,443.0,17.0,1.0
1.1094527363184077,0.5472636815920396,104.1089108910891,1276.9205955334994,4.544002662741844,2.160401961103657,66.0631238900449,131.09602514416562,202.0,403.0,21030.0,514599.0,54885.0,443.0,17.0,1.0
5.790751003248623,16.294244217321157,1287.0760412686304,100.06290322580652,211.0018704862367,348.4750370962486,74.46708782433933,56.88834529312362,5234.0,1860.0,6736556.0,186117.0,443.0,56168.0,17.0,1.0
23.688711516533616,7.193627450980402,101.84510250569473,1285.0168008400433,476.2755835938642,269.4243054471536,67.24216293782737,89.52171620794034,878.0,2857.0,89420.0,3671293.0,56168.0,443.0,17.0,1.0
9.662961492655826,23.29779058597504,1279.8638888888918,101.72264875239924,395.3145090959727,614.0288029489194,117.68519366941229,55.56476991412322,2520.0,1042.0,3225257.0,105995.0,443.0,56168.0,17.0,1.0
10.43235972328976,4.988931931377969,100.11717249327718,1284.563445223166,235.53577018582223,164.11753243672982,54.858707698010434,92.50551634522584,2603.0,5422.0,260605.0,6964903.0,49227.0,443.0,17.0,1.0
8.745787545787552,4.78927356413847,100.42878066642268,1285.7927170868338,262.11354604653815,196.0912462158537,46.22817630972408,84.43930274753271,2731.0,4998.0,274271.0,6426392.0,49227.0,443.0,17.0,1.0
8.409552845528474,22.008100810080965,1283.2478835082948,101.53866906474823,248.3708870689404,393.7894129304641,100.12005082056038,67.61904418890363,2953.0,1112.0,3789431.0,112911.0,443.0,58843.0,17.0,1.0
12.482089552238806,4.884637681159438,99.28486204325128,1283.1306867574606,374.48565929058105,234.11894893751813,48.67089588750293,100.80500341313636,1341.0,3451.0,133141.0,4428084.0,58843.0,443.0,17.0,1.0
23.9541420118343,9.846493998736582,124.59379615952736,1271.924242424244,142.12943281286672,96.40289487538772,164.68629535761386,147.7804899882137,677.0,1584.0,84350.0,2014728.0,60517.0,443.0,17.0,1.0
9.862395543175491,4.154425612052727,99.4543429844098,1284.8649093904428,310.491040422528,202.8721742169992,49.98135170973703,90.15269070177446,1796.0,4249.0,178620.0,5459391.0,60517.0,443.0,17.0,1.0
12.767345050878824,5.404604604604617,102.99999999999996,1285.4443554843892,256.5388839341528,178.52189428444174,75.20226195743894,86.7058095145218,2163.0,4996.0,222789.0,6422080.0,54807.0,443.0,17.0,1.0
15.179999999999993,5.516707021791785,99.9800133244504,1284.6494795449075,312.6664758974009,189.5358387861208,53.79586973241069,91.93863945737856,1501.0,4131.0,150070.0,5306887.0,54807.0,443.0,17.0,1.0
6.61720430107527,3.16279069767442,100.3168635875403,1267.4199380165276,101.4563262725518,75.36510827608147,48.36836170719827,168.92477354278716,931.0,1936.0,93395.0,2453725.0,54807.0,443.0,17.0,1.0
3.8631178707224345,1.0453514739229013,100.55218216318784,1287.9750708215322,11.90871185602749,3.573105873407428,67.19859216498024,68.9258075896097,527.0,1765.0,52991.0,2273276.0,65277.0,443.0,17.0,1.0
11.24205485415761,5.994597134132026,100.75108790252384,1281.7308595584775,249.2258251895664,184.97522496913248,57.27164769066288,108.73925206169484,2298.0,4258.0,231526.0,5457610.0,57273.0,443.0,17.0,1.0
12.348022033049562,6.0149144254278655,100.08358358358365,1280.953556587633,278.07237917215093,195.98197176672667,46.82323294568624,112.84191635638255,1998.0,4091.0,199967.0,5240381.0,57273.0,443.0,17.0,1.0
4.888140604467804,11.737756714060035,1282.1806536377064,101.34149230161866,161.94108862771495,245.53435697381903,106.73291644808955,67.29881846869554,6089.0,2533.0,7807198.0,256698.0,443.0,57655.0,17.0,1.0
11.893442622950824,6.026495278069265,100.0880696364568,1279.4652504589562,276.07544693775066,196.99087533593996,52.36131590878964,119.914137966204,1953.0,3813.0,195472.0,4878601.0,57655.0,443.0,17.0,1.0
12.610492107706587,7.454595791805086,103.9132250580048,1283.9847771934674,364.8998018613569,283.46656833288625,38.880365355286486,95.04355264816732,2155.0,3613.0,223933.0,4639037.0,59727.0,443.0,17.0,1.0
16.588675213675216,7.976744186046528,101.43329775880468,1280.0304752066063,468.22540008352496,327.0131761095719,47.52032944527559,117.49066531058088,937.0,1936.0,95043.0,2478139.0,59727.0,443.0,17.0,1.0
8.92443208159483,4.792590725806451,100.8772011121408,1281.602166792646,224.3754997332219,163.3782677010226,54.13568548025938,109.74812946336284,2158.0,3969.0,217693.0,5086679.0,57526.0,443.0,17.0,1.0
15.750957854406114,5.936842105263142,100.04913848117428,1284.31595692609,250.7214317543177,158.87124628298858,58.5618796867907,93.8906302715054,1567.0,4086.0,156777.0,5247715.0,57526.0,443.0,17.0,1.0
